page,text
188,"Verse 30] _SADHAKA-SANJIVANI (145 —

In order to renounce the known unreal, it is necessary that a
striver should renounce the relationship which our discrimination
does not support. Assuming a person, with whom we have neither
eternal relationship nor identity of the self, our own and for
us, is anti-discrimination relationship. So long as there is anti-
discrimination relationship, no spiritual discipline will lead to —
Self-realization. By having affinity with the body, a person may
undergo austere penance, may have trance, may go round the
world, his delusion can’t be destroyed and the Supreme Truth
can’t be attained. Having renounced the anti-discrimination
relationship delusion is destroyed and the Supreme Truth is
realized. Therefore a striver shouldn’t be at ease without renouncing
the anti-discrimination relationship. If we don’t renounce our
assumed anti-discrimination relationship with the body, the body
will leave us certainly. Then what is the difficulty in renouncing
our kinship with the body? Therefore a seeker may follow any
discipline, he will have to accept the truth, “I am not body and
the body is not mine and it is not for me because I am ‘aSariri’
(self) and the self is unmanifest.” st

So long as a striver has the kinship of ‘I and ‘mineness’
with the body there is no realization of the Supreme Truth and
he remains bound by virtuous actions, useful reflection and
attachment to Trance. He may perform virtuous actions such as
performance of sacrifice, undergoing penances, offering charity,
may reflect upon the soul or the Supreme Soul or be established
in trance, he is not totally free from bondage. The reason is
that assumption of the kinship of the self with the body is the
root of bondage and also of the flaw which causes all flaws. If
the assumed affinity of a striver with the body is totally wiped
out, sinful actions will not at all be performed by him and he
will not be attached to virtuous actions. There will not be any
meaningless reflection by him at all, and he will not be attached
to meaningful reflection. He will not be fickle in the least and
will neither be attached to trance, constancy or absence of all |
"
189,"146 SRIMADBHAGAVADGITA _ [Chapter 2
thoughts. Thus at the destruction of attachment of the gross
(physical) body to actions, of the subtle body to reflection and
of causal body to constancy, his aim will be attained viz., his
delusion will be destroyed and the Supreme Truth will be realized.
Therefore the Lord at the outset of His gospel has described the
discrimination between the body and the self in order to wipe
out a striver’s (self’s) relationship with the body.
Link:—Arjuna was grieved, by apprehending the death of his
kinsmen and preceptors. Moreover he was afraid that sin would
accrue to him, by killing them and that sin would lead him to
hell. Therefore Lord Krsna preached this gospel in the eleventh
to the thirtieth verses. Now, He starts the worldly standpoint and
reminds Arjuna of his duty, as a member of the warrior class.
waaay areaer a faniuquetat
ANT Toor aSA SARA ATT AT Patera Ul Be Ut
svadharmamapi caveksya na _ vikampitumarhasi
dharmyaddhi yuddhacchreyo'nyatksatriyasya na vidyate
Looking at your own duty as well, you should not falter for
there is, nothing more meritorious to a person of the warrior
class (Ksatriya) than a righteous war. 31 | ,
Comment:— a
[In the first two verses, He describes the benefit of war.]
'Svadharmamapi caveksya na vikampitumarhasi'—Man (soul)
is a fragment of God. But by identifying himself with the body,
noting himself as a Brahmana (of the priest class) or a Ksatriya (of
the warrior class) etc., he has to discharge his duty as a member of
that class. Similarly one who acknowledging himself as a teacher
' ora father, has to discharge the duty of a teacher or a father.
Here, the duty of a Ksatriya has been called ‘Dharma’
(righteousness)*. It is the foremost duty of a Ksatriya not to
* In the eighteenth chapter (18/42— 48) the Lord has described the inate
"
190,"Verse 31] SADHAKA-SANJIVANI 147
flee from war front. For a Ksatriya, righteousness is upheld by
waging war. So, Lord Krsna asks Arjuna to discharge his duty,
by waging war. He should never shirk that duty.
'Dharmyaddhi yuddhacchreyo'nyatksatriyasya na vidyate'—
There is nothing more welcome to a man of the warnor. class
than a righteous war viz., which is his main duty (Gita 18/43).
Similar, is the case with, the people of other classes—the priest,
the business and the labour classes. |
Arjuna, in the seventh verse of the second chapter, requested
Lord Krsna to tell him what is good for him. In response to his
request, Lord Krsna tells him, that he would attain salvation by
performing his duty of waging a righteous war. So, he should
not retreat from it. : _
Appendix—Having described the discrimination between
‘deha’ (body) and ‘dehi’ (self) the Lord from this verse to the
thirty-eighth verse describes the performance of one’s duty.
The reason is that the Supreme Truth which is realized by the
discrimination between ‘deha’ and ‘dehi’, the same Supreme
Truth can be realized by the proper use of the body, by
- performing one’s duty. In discrimination ‘knowing’ is. important
and in performance of one’s duty ‘doing’ is important. Though
discrimination is important for a man, as it is useful for him
in practical and spiritual life and also in this world as well as
the other world, yet the Lord mentions performance of one’s
duty for the person, who doesn’t understand the discrimination
between the body and the self, so that instead of becoming a
scholar by possessing bookish knowledge or rot learning, he
may realize the Truth. oo |
It means that a person who wants to know Godhead
but without having a keen intellect and a keen self-denial
(detachment), couldn’t know Him by the Discipline of |
duties of the people of four castes. There the term Dharma’ (18/47) stands for
one’s duty. Thus the terms ‘Karma’ and ‘Dharma’ are synonymous.
"
191,"148 SRIMADBHAGAVADGITA [Chapter 2
Knowledge, he can know the Supreme Soul by the Discipline
of Action (Gita, 5/4-5). :

Arjuna was a Ksatriya (member of the warrior class).
Therefore the Lord has mentioned the duty of a Ksatriya.
In fact here ‘the duty of a Ksatriya’ is the denotation for
the duties of the four ‘Varnas’. Therefore it means that the

members of other “Varnas’ (castes) such as Brahmana (member
of the priest class) etc., should also discharge their duties
(Gita, 18/42—44). [‘Svadharma’ (one’s own duty) has been
mentioned as “Svabhavaja karma’, ‘Sahaja karma’ and ‘Svakarma’
etc., (Gita 18/42—48). Discharge of one’s duty for the welfare
of others, by renouncing selfishness, pride and the desire for
fruit, is performing ‘svadharma’. Discharge of ‘Svadharma’ (one’s
duty) is “Karmayoga’ (the Discipline of Action).]

GReaAt: ara: Uret ost Pega SVAN 32

: yadrcchaya copapannam svargadvaramapavrtam
sukhinah ksatriyah partha labhante yaddhamidrsam

Fortunate are the Ksatriyas, O Partha, who get such an
unsolicited opportunity for war, which offers an open gateway,
to heaven. 32 :

Comment:— —

""Yadrechaya copapannarh svargadvaramapavrtam'—.
Duryodhana imposed a condition on the Pandavas, ""If you lose
while gambling, you will be exiled for twelve years and will reside
in an unknown place for one year. Then after thirteen years you
will regain your empire. But, if you are identified during that
one year period, you will again be exiled for twelve years."" The
Pandavas, accepted the condition and suffered twelve years in
exile, and one year's incognito existence. After expiration of the
"
192,"Verse 33] SADHAKA-SANJIVANI 149
period, when the Pandavas demanded their empire, Duryodhana
refused to give them, even as much land as could be covered
by the point of a needle, without waging war. The Pandavas
made several efforts for a compromise, but Duryodhana bluntly
refused. Therefore, Lord Krsna says to Arjuna, ""You have got
this unsought and unsolicited opportunity, for waging a war.
Such a righteous war, is an open gateway to heaven.” |

‘Sukhinah ksatriyah partha labhante yuddhamidrsam'—Those

Ksatriyas, who get such an opportunity are really lucky.

_ He means to say, that the happiness which is derived by
discharging one's duty, is far superior to worldly pleasures which
could be enjoyed, even by animals and birds.

Link:—In the next four verses, Lord Krsna explains the evil
consequences of not waging a war.

ae Arahat eet Tent AT Rares 1

da: tae aif a fecar rar aT 11 33 I

atha cettvamimarh dharmyarh sangramarh na karisyasi

tatah svadharmam kirtim ca hitva papamavapsyasi

If you do not wage such a righteous war, then in abandoning
your duty and forfeiting your honour, you shall incur sin. 33
Comment:—

""Atha cettvamimam dharmyam sangrfémam na_ karisyasi
tatah svadharmam kirtim ca hitva papamavapsyasi'—Even if
you do not want to discharge your duty, by waging war,
bound by your own action born of your nature, you will have
to engage in it against your will (18/60). If you do not wage
war, you will neglect your duty and you will not only lose
your reputation, but incur sin, also. Moreover, by abandoning
your duty, you will have to accept the duty of others, and
so you will incur sin and by abandoning war, you will be
"
193,"150 SRIMADBHAGAVADGITA [Chapter 2
regarded as an unmanly warrior, and thus you will lose your
: honour and reputation. - | |
| | ER
. matereated ASSTAT
Saefadey aenttt-
mores sh BN
-  akirtirh capi bhutani _
- | | kathayisyanti te'vyayam .
F sambhavitasya — cakirti-
7 | rmaranadatiricyate
All beings will ever recount your undying infamy and _ that is
| surely, worse than death for a man, enjoying popular esteem. 34
Comment:— os |
| 'Akirtirn capi bhiitani kathayisyanti te'vyayam'— Men, gods,
: genies, and demons etc., and all, who do not have even the least
: friendship or enmity with you, such simple beings will recount
your infamy and dishonour and will call you a coward, if you do
not wage war. They will disparage your chivalry,:and will say that
| you proved to be a coward, which could not even be imagined.
By using the word ‘te’ (thy) Lord Krsna means to say, that
Arjuna who is renowned in heaven, in this world, as well as,
in the infernal world, for his courage, will be called a coward.
By using the term 'avyayam’ (everlasting) He means that as he
is famous for his excellence and bravery, he will be unpopular
for his weakness and timidity forever.
| '‘Sambhavitasya 4kirtirmaranadatiricyate'—In the first half
of this verse, the Lord discussed Arjuna's disparagement by
- common people. Now He is talking in general terms.
‘In the world, if any man, who is regarded superior to others
and enjoys popular esteem, loses his honour and fame, his infamy
"
194,"Verse 35-36} | SADHAKA-SANJIVANI — 7. 151
is more painful to him, than even death. Because in natural
death he does not lose his name and fame while he loses —
these by shunning his duty. In case of natural death, no crime
or sin is committed, but shirking duty is a sin, which brings
much discredit. 7
. ICTS RS |
AAT SA ca AKAAL FCAT ATTA ATTA 1 BE I
-bhayaddranaduparatam marsyante tvam maharathah
yesam ca tvam bahumato bhitva yasyasi laghavam —
| The great chariot-warriors, who held you in high esteem, will
consider you as lowly, thinking that you have desisted from war,
out of fear. 35 7 |
Comment:— |
'Bhayadranaduparatam marmsyante tvarn maharathah'—If
you think that you have desisted from war, in order to attain
salvation by avoiding sin, it is not true. If you had thought of
it as a sin to wage the war, you might have spent sometime in
devotion and meditation in solitude, and would not have invited
Me to wage this war. Therefore, if you desist from the war, all
the living beings will think that you have done so out of fear,
not out of a sense of duty and righteousness, as it is the first
and foremost duty of a Ksatriya to fight.
""Yesam ca tvarn bahumato bhitva y4syasi laghavam'—The great
chariot-warriors such as Bhisma, Drona, Krpa and Salya etc., |
who hold you in high esteem for your mighty valour, (because
you have defeated several demons, gods and demigods etc.,) you
will fall in their esteem as one who has fled from the war-front
out of fear, of death. . |
wins -
saraaaiva agate aantear: |
Precdtde Gast dat ¢aat Fy fee ae
"
195,"152 SRIMADBHAGAVADGITA [Chapter 2
_ avacyavadamsca __— bahiinvadisyanti tavahitah
nindantastava samarthyam tato duhkhatarama nukim
- Your enemies, disparaging your strength, will. speak in
unbecoming terms. What could be more distressing than this? 36
Comment:— : ,

'Avacyavadamsca bahinvadisyanti tavahitah nindantastava
samarthyam'—Your swotn enemies, such as Duryodhana,
Duhsasana and Karna etc., in spite of knowing your deeds of
valour, will be little your strength and will laugh at you and call
you a coward and impotent. How will you bear those insolent »
jokes and irrepairable ignominy? | | :

""Tato duhkhataram nu kim'—What can be more painful than
this? It is generally seen that a person of respectable and high
standing, cannot tolerate insults from persons of low standing and
he performs deeds of mighty valour, beyond expectation. Similarly,
you will not be able to tolerate ignominy and slander and so
there will be no alternative for you, but to wage the war that
has been declared. So, how could you bear that ignominy?

rucdeisevcy ,

Link:—After explaining the adverse consequences of not
waging the war, in the preceding four verses, in the next two
verses Lord Krsna, explains the favourable consequences of war.

Bat aT Wea tent Fatcat aT areeTea TST

TONGS HAT Besglsa Haya: 11 39 Il

hato va prapsyasi svargam jitva va bhoksyase mahim

tasmaduttistha kaunteya yuddhaya krtaniscayah .

Slain in battle you will gain heaven, victorious you will
enjoy the sovereignty of earth; therefore, arise, O son of Kuntt,
determined to fight. 37 |
Comment:— | | |

""Hato va prapsyasi svargam jitva va bhoksyase mahim'—In
"
196,"Verse 38] _ SADHAKA-SANJIVANI | 153
the sixth verse of this chapter, Arjuna raised a question that
they did not know whether they would conquer the sons of
Dhrtarastra or Dhrtarastra's sons, would conquer them. So Lord
Krsna answers the question and says, ‘‘If you are killed by Karna
etc., you will attain heaven and if you gain victory, you will
gain the kingdom. Thus righteous warfare would result in good,
both here and hereafter. So you should be prepared to wage war,
otherwise you risk to lose both.’’ Krsna by addressing Arjuna
as Kaunteya wants to remind him of the message to wage the
war, sent by his mother when He went to the Kauravas, with a
proposal for a treaty. Therefore, he should rise to the occasion
with full determination.

Arjuna was determined not to fight and Lord Krsna, in the
third verse of this chapter, ordered him to rise to the occasion.
Here, Arjuna is in a dilemma, whether to wage war or not.
So Lord Krsna exhorts him to be determined to fight, without
having any doubts. »

Here, Lord Krsna wants to say that everyone should discharge
his duty very sincerely and enthusiastically, to the best of his
power and ability, in whatever circumstances, he is placed.
Humanity demands 1t. |

Appendix—By discharging one’s duty, one makes advancement
in this world and other world. It means that by discharging one’s
duty and by abstaining from what ought not to be done, one
attains perfection here as well as hereafter. |

CIOS SSS ID

PASS TA Heat CMAN Sasa |

Wat Beagrst Geta Ae UTTAR 1 32 I

sukhaduhkhe same krtva labhalabhau jayajayau

tato yuddhaya yujyasva naivam papamavapsyasi

Treating alike victory and defeat, gain and loss, pleasure
"
197,"154 SRIMADBHAGAVADGITA [Chapter 2
and pain and engage yourself in battle. Fighting thus you will
incur no sin. 38
Comment:— | |
. [Arjuna was thinking that by killing his kinsmen he would
incur sin. So Lord Krsna clarifies that it is not the war but desire,
which induces a man to incur sin. So by renouncing desire, he
should be engaged in war.] | |
""Sukhaduhkhe same krtva labhalabhau jayajayau tato yaddhaya
yujyasva'—In a war a man either gains victory or suffers defeat.
Victory results in gain, while defeat results in loss. Worldly
: people, view gain with pleasure and loss with pain. But your
aim is not to think of victory and defeat, gain and loss, and
pleasure and pain, but your goal is to discharge your duty by
treating the agreeable and the disagreeable, alike. By doing so
you will incur no sin viz., you will be free from bondage.

_. Everyone should discharge his duty earnestly and efficiently,

, whether he has a desire or not for its fruit. By refusing to be
affected by favourable and unfavourable circumstances, the mind
becomes steady. So treating the two equally, one should discharge
one's duty. Moreover, one should not perform an action for the
sake of pleasure, and refrain from another, for fear of its pain.
Scriptures should be the authority in determining what ought to
be done and what ought not to be done (Gita 16/24).

_ ‘'Naivarh papamavapsyasi'—Here, the word, sin, has been
used both for sin and virtue. The former, leads to the bondage
of hell and the latter to the constraints of heaven. Both of these
deprive a man of salvation and binds him to follow the cycle

of birth and death. So, Lord Krsna exhorts Arjuna, to discharge
his duty of waging war, by being even-minded. This will help

him to escape the bondage of both sin and virtue.
In this section of eight verses from the thirty-first to the thirty-
"
198,"Verse 38] SADHAKA-SANJIVANI — 155
eighth Lord Krsna has disclosed several variegated feelings.

(1) While delivering a discourse or explaining a subject, the
beginning should deal with positive aspects, the middle with
negative aspects and the conclusion should again deal with positive
aspects. In this context also, Lord Krsna in the thirty-first and
thirty-second verses, explains the favourable consequences of
discharging one's duty; in the middle from the thirty-third to the
thirty-sixth verses, He explains the adverse consequences of not
performing one's duty; and again concludes, in the thirty-seventh
and thirty-eighth verses, by explaining the favourable consequences
of discharging the duty and orders Arjuna to act accordingly.

(ii) In these verses, Lord Krsna has also clarified the doubts
arising in the mind of Arjuna. For example Arjuna says, ""I don't
foresee any good, ensuing from the slaughter of kinsmen"" (1/31).
Lord Krsna replies in 2/31, ""There is nothing more welcome ,
to a man of the warrior class, than a righteous war."" In 1/37
Arjuna says,""How can we, by killing our kinsmen, be happy?""
Lord Krsna replies in 2/32, ""Happy are the Ksatriyas who get
the opportunity of waging such an, unsolicited warfare."" In 1/44
Arjuna says, ""The consequence of the war will lead to hell."" In |
2/32,37 Lord Krsna says, “The war is an open gateway to heaven.”
In 1/36 Arjuna says, ""Sin alone will accrue to us by waging the |
war and by slaying them.” Lord Krsna replies in 2/33, ""If you
do not wage such a righteous war and abandon your duty, you
will incur sin."" In 1/40 Arjuna says, ""The result of the war will
be that impiety will take hold of the entire family."" Lord Krsna
in 2/33 says, ""If you do not wage such a righteous war, you
will abandon your duty viz., righteousness.""

(a) In 2/5 Arjuna insists and says, ""It is better to live on
alms, than to wage war."" Therefore, Lord Krsna in 2/38, orders
him to wage war. Uddhava had a desire to live with Lord Krsna.
So Lord Krsna directed him to go to the northern mountains
and do penance there (Srimadbhagavata 11/29/41). It means that,
"
199,"| 156 SRIMADBHAGAVADGITA [Chapter 2
desire of any type is an obstacle to salvation.

_ (iv) In these verses Lord Krsna has explained in details some
of the things which were referred to in brief, in the second and
third verses of this chapter. For example earlier the expression
‘anaryajustam’' (it is shunned by noble souls) was used, here the

expression ‘dharmyaddhi yuddhacchreyo'nyat' (any other thing more
welcome than a righteous war) has been used. There the term

‘asvargyam’ (not leading to heaven), was used here the expression

| ‘svargadvaramapavrtam, (an open gateway to heaven), has been
_ used. There the term ‘akirtikaram' not bringing fame was used,
: here the expression ‘akirtim capi bhitani kathayisyanti te'vyayam’'

(all creatures will even recount your undying infamy) has been
used. There, Lord Krsna ordered Arjuna to fight by using the
expression ‘tyaktvottistha parantapa’ here, also, He orders him
the fight by using the expression 'tato yuddhaya yujyasva’.

_ Appendix—The Gita teaches the remarkable art of spiritual
upliftment through one’s own dealings so that a person, under
all circumstances, having all kinds of dealings sanctioned by

the scriptures, may attain salvation. Generally other scriptures
mention that if you want to attain salvation, become a recluse by
renouncing mundane materials and live in solitude because the
mundane affairs and spiritual upliftment can’t go together. But
the Gita declares that at whatever place you are, whatever sect
you follow, whatever principle you live up to, whatever religion,
school of thought, ‘Varna’ (caste), ‘Asrama’ (stage of life) you
follow, by following them if you act according to the gospel of
the Gita, it will lead you.to salvation. The Supreme Truth, which
recluses and saints attained in solitude by practising spiritual
discipline for years together, will be attained in practical worldly
life by following the teachings of the Gita. By becoming even-
minded in success and failure, performance of one’s duty without
the desire for fruit, is to act according to the gospel of the Gita.
What can be more terrible circumstance and activity (action)
"
200,"Verse 39] SADHAKA-SANIIVANI 157
than a war? When a man can attain salvation under such a terrible
circumstance and activity as a war, then what other more terribe
circumstance and activity will be there in which he may not attain
salvation? According to the Gita sitting on a seat in loneliness
and meditating on God can lead to salvation (Gita 6/10—13)
and waging a war can also lead to salvation.

Arjuna wanted neither heaven nor kingdom (Gita 1/32, 35,
2/8). He wanted to turn away from the sin which would accrue
by killing his kith and kin (Gita 1/36, 39, 45). Therefore the Lord
appears to say, “If you don’t covet heaven and kingdom and want
to turn away from the sin, discharge your duty of fighting in the
war treating the agreeable and the disagreeable alike, thus you will
incur no sin—‘naivam papamavapsyasi’. The reason is that sin is
not incurred by waging war; but uneven-mindedness (partiality),
desire, selfishness and ego are the causes of sin. It is your duty
(dharma) to wage war. Sin is incurred by not performing one’s
duty and by doing which should not be done.” |

In the preceding verse the Lord seemed to say to Arjuna, “If

you want to gain kingdom and heaven, it is proper for you to

| perform your duty,” while in this verse He seems to say, “If you

don’t want to gain kingdom and heaven, it is proper for you to

discharge your duty by being even-minded.” It means that it is

improper not to discharge one’s duty under any circumstances.

Sie

Link:— The Lord, in the next two verses, authorizes Arjuna

to be guided by even-mindedness, already mentioned in the
preceding verse and he describes its glory.

wa 486s aSfafear ss SSSA

aegat 8 86ofaat |= og
qe ant aa ure
Haare Wares 1 33
"
201,"158 SRIMADBHAGAVADGITA [Chapter 2
esa te'bhihita sankhye
buddhiryoge tvimam Srnu
buddhya -yukto  - yaya partha
karmabandham. prahasyasi

O Partha (Arjuna), this attitude of mind has been presented to
you from the point of view of Jnanayoga (Discipline of Knowledge);
now hear of the same, from the point of view of Karmayoga
(the Discipline of Selfless-Action). Equipped with this state
of mind, you will be able to completely shake off the shackles
of Karma (Action). 39 |
Comment:— | | |

‘Es te’bhihita sankhye buddhiryoge tvimam Srnu'—Here the
word. 'Tu' (indeed) has been used to show that the description
of the Discipline of Action, is different from the Discipline of
Knowledge. —

The term ‘Esa’ has been used for equanimity, which has
been described in the preceding verse and which has already been
explained in the Discipline of Knowledge, (from the eleventh to
the thirtieth verses). When a man discriminates between the body
and the soul, he gets established in equanimity automatically
because it is attachment to the body which is an obstacle in the
way of equanimity. So this ideal of equanimity has already been
presented from the point of. view of ‘Sankhyayoga’ (Discipline
of Knowledge); now listen to a discourse on equanimity in the
context of 'Karmayoga’ (Discipline of Action).

‘Imam’ (this) term has been used to explain how this
equanimity is attained by the Discipline of Action and what its

_ importance is?

""Buddhya yukto yaya partha karmabandham prahasyasi'—
Arjuna was afraid of the sin that would accrue by waging the
war (1/36, 45). But Lord Krsna says that sin does not accrue
by waging the war as it is your duty, but it accrues by having
attachment and aversion. So if you attain equanimity, no sin
"
202,"Verse 39] SADHAKA-SANJIVANI 159
will accrue and your duty of waging the war, will not lead you
to bondage. |

In the seventh verse of this chapter Arjuna asked Lord Krsna to

advise him what was good for him. Hence, Lord Krsna answers his
query. First, He mentioned the means of Sankhyayoga (Discipline
of Knowledge), and then laid great stress on performance of
duty, and told him that there was nothing more welcome to a
Ksatriya, than a righteous war (2/31). Then, He told him that
no sin would accrue, if he had equanimity ( 2/38). Now, He
explains the same equanimity, in the context of 'Karmayoga’
(Discipline of Action).

A Karmayogi performs action to set an example, to the
masses (Gita 3/20) without any selfish motive. By doing so,
he attains equanimity, easily. Having attained equanimity, he is
easily liberated, from the bondage of actions.

This (Thirty-ninth) verse, should have been placed after the
thirtieth verse, as it rightly belonged there, because from the _
eleventh verse to the thirtieth verse, the Lord explained even-
mindedness, from the view-point of the Discipline of Knowledge,
and now He describes it from the view of Discipline of Action.
So it seems improper, to insert these eight verses, from the thirty-
first to the thirty-eighth, here. But really it is not so. The reason
is, that before describing equanimity in the Discipline of Action,
it is necessary to describe, what one ought to do and what one
ought not to do. It was Arjuna's duty, to wage a righteous war. It
was not his duty to abandon war, because by doing so, he would
incur sin. So Lord Krsna, in these eight verses, described what
Arjuna ought to do and what he ought not to do (2/3 1—38). Then,
he explained equanimity. It means, that first from the eleventh
verse to the thirtieth verse, he explained equanimity, through as
elucidation of the real and the unreal, by mentioning that the
real is real and the unreal is unreal and none can change these.
Then, from the thirty-first verse to the thirty-eighth verse, having
"
203,"160 SRIMADBHAGAVADGITA [Chapter 2
explained what one ought to do, and what one ought not, from.
the thirty-ninth verse, He exhorts Arjuna never to desist from

| his duty, but to always perform duty with even-mindedness, in
success and failure.

Appendix—‘Karmayoga’ (Discipline of Action) is divided into
two parts—‘kartavya vijnana’ (the science of duty) and ‘Yoga
vijfiana’ (the science of equanimity). The Lord from the thirty-first
verse to the thirty-seventh verse mentioned the science of duty in
which He described the favourable consequences of discharging
the duty and adverse consequences of not discharging the duty.
Now from this verse to the fifty-third verse He mentions the

: science of equanimity. ,

The equanimity which the Lord mentioned in the preceding
verse, can be attained both by ‘the Discipline of Knowledge’
and ‘the Discipline of Action’. By knowing the discrimination
between the body-division and the self-division and renouncing
affinity with the body-division, is “The Discipline of Knowledge’
while by knowing the duty-division and the non-duty-division and
by renouncing what ought not to be done and discharging one’s
duty, is ‘the Discipline of Action’. A man by following one of
the two disciplines should attain equanimity. The reason is by
attaining equanimity a man is freed from the bondage of action.

One is ‘Dharma Sastra’ (Pirva mimarhnsa) [The scripture for
duty] and one is ‘moksa sastra’ (Uttara mimarhsa) [The scripture
for salvation). Here from the thirty-first verse to the thirty-seventh
verse, there is description of ‘Dharma Sastra’, while from the
thirty-ninth verse to the fifty-third verse there is description of
‘Moksa Sastra’. By ‘Dharma astra’ (discharging one’s duty) there
is both kinds of progress*—mundane and spiritual. In ‘Dharma
Sastra’ the discharge of one’s duty is important. Either call it
‘Dharma’ or duty—it is one and the same.

Not to do what ought to be done is ‘non-discharge of duty’

* ‘vato’ bhyudayanihsreyasasiddhih sa dharmah’ (VaiSesika 1/3, 2/39).
"
204,"Verse 40] SADHAKA-SANJIVANI 161
and to do what ought not to be done is also ‘non-discharge of
duty’. Duty is that in which a person having renounced his desire
for pleasure, pleases others and which involves his own welfare as
well as the welfare of others. By discharging one’s duty, ‘Yoga’
(equanimity) is naturally attained. Without discharging one’s
duty a man can’t attain equanimity (Gita 6/3). Having attained
equanimity, knowledge of Truth is naturally attained—-which is
the result of both—‘Karmayoga’ (the Discipline of Action) and
‘Jnanayoga’ (the Discipline of Knowledge). | |

Aaihranaaren shea werarat a feed

TACHA sey Arad Asal WALI Yo ti

nehabhikramanaso'sti pratyavayo na_ vidyate

svalpamapyasya dharmasya trayate mahato bhayat

In this path (of selfless action), there is neither loss of effort, nor
any adverse result. Even a little practice of this discipline (dharma)
protects one from great danger (of birth and death). 40
Comment:— |

[Lord Krsna has explained the importance of disinterested
action in the latter part of the thirty-ninth and this fortieth verse
in four ways:—{i) By it, one becomes free from shackles of
actions. (ii) There is no loss in effort. (111) There is no adverse
result. (iv) Even a little practice of it (dharma) protects, one
from great fear.]

'Nehabhikramanaso'sti'—In this path of disinterested action,
there is no loss of attempt viz., the partial practice of this Yoga
(Discipline of Disinterested Action) has its corresponding benefit.
The desire to attain equanimity is the beginning of equanimity.
Such a beginning never gets wasted because desire for attaining
the real is also real. | |

‘Tha’ (in this) means that in this world human beings are
"
205,"162 SRIMADBHAGAVADGITA [Chapter2
authorized to attain equanimity. All other bodies (births) are to
enjoy worldly pains and pleasures, there is no opportunity for
them to do away with attachment and aversion because pleasures
can be enjoyed only by having attachment and aversion. If there
are no attachment and aversion, no pleasure can be enjoyed and
such actions will lead to spiritual discipline.

'Pratyavayo na vidyate'—Actions which are performed with
a desire for fruits, can give adverse result, if there is any error
in the pronunciation of incantations, or in performing sacrifice,
etc. Suppose, a man performs sacrifice, for the birth of a son,
but if it is not performed according to scriptures, it might result
in the death, of a member of the family, instead of blessing him
with a son. Sometime, if the result is not quite contrary, it may
be less harmful, as the son may be born crippled. But, one who
performs actions, without having any desire for fruits, becomes
equanimous and so there is no adverse result from his effort.

What is adverse result? Unevenness of mind, is an adverse
result. Attachment and aversion, is unevenmindedness. This
uneven-mindedness leads to a cycle of birth and death. But,
when a man becomes equanimous, attachment and aversion, are
rooted out and on annihilation of attachment and aversion, there
is no unevenness of mind, and therefore any adverse result, is
out of the question.

'Svalpamapyasya dharmasya trayate mahato bhayat'—Even
a little practice, of this discipline of disinterested action, which
brings about equanimity, protects one from the great fear of
birth and death. So unlike action for fruits, which ends after its
fruits, it does not perish viz., its fruit is not wealth or property,
which are perishable. Equanimity, which a striver attains, by
facing favourable and unfavourable circumstances, gets fixed _
in him and becomes permanent. A devotee (striver), deviating
from the path of Yoga, having enjoyed heavenly pleasures for

- many years and having taken birth in the houses of righteous
"
206,"Verse 40] SADHAKA-SANJIVANI | 163
persons, does not lose knowledge or even-mindedness gained,
in his previous birth (Gita 6/40—45) because this knowledge or
even-mindedness, is real. , —
‘Dharma’ (Duty) is used in two senses—(i) Charity viz.,
kindness, in giving help (money, food, clothes etc.,) to the poor,
and suffering people (11) Discharging one's duty; according to
the ordinance of scriptures. By performing one's duty, without
desiring its fruit, one develops equanimity automatically, because
it is axiomatic. Therefore, here, equanimity has been called
‘Dharma’ (duty). :
Some people opine constant remembrance of God is not useful
unless there is concentration of mind. But the gospel of the Gita,
does not attach much importance to this opinion, it attaches more
importance to equanimity. According to the Gita, a striver who
has attained equanimity, is an exalted soul. Even when, a man
is imbued with all qualities, if he does not gain equanimity,
according to the Gita, he cannot be called, a perfect soul.
This equanimity, is of two kinds—of the mind and of the self.
The Lord, pervades everywhere equally. One who gets oneself
established, in Him, gains victory over the world, and is liberated.
But this equanimity of self, can be known by equanimity
of the mind (Gita 5/19). Equanimity of the mind, consists in
remaining even-minded, in success and failure (Gita 2/48).
Such a person, remains even-minded in praise and reproach,
success and failure, profit and loss, pleasure and pain etc.,
(Gita 5/20). This sort of equanimity, never perishes and it
results in nothing, but salvation. |
Whatever, virtuous actions, such as penance, charity and
pilgrimage etc., are performed by a man, these perish after
giving fruit, but equanimity, does not perish and it leads man
to salvation or God-realization (Gita 5/3), while concentration
"
