chapix_dev,verseix_dev,stanza1_dev,stanza2_dev,speaker_dev,chapix_itrans,verseix_itrans,stanza1_itrans,stanza2_itrans,stanza1_slp1,stanza2_slp1
 २,६०,यततो ह्यपि कौन्तेय पुरुषस्य विपश्चितः,इन्द्रियाणि प्रमाथीनि हरन्ति प्रसभं मनः,श्रीभगवानुवाच,2,60,yatato hyapi kaunteya puruShasya vipashchitaH,indriyANi pramAthIni haranti prasabhaM manaH,yatato hyapi kOnteya puruzasya vipaScitaH,indriyARi pramATIni haranti prasaBaM manaH
 २,६१,तानि सर्वाणि संयम्य युक्त आसीत मत्परः,वशे हि यस्येन्द्रियाणि तस्य प्रज्ञा प्रतिष्ठिता,श्रीभगवानुवाच,2,61,tAni sarvANi saMyamya yukta AsIta matparaH,vashe hi yasyendriyANi tasya praj~nA pratiShThitA,tAni sarvARi saMyamya yukta AsIta matparaH,vaSe hi yasyendriyARi tasya prajYA pratizWitA
 २,६२,ध्यायतो विषयान्पुंसः सङ्गस्तेषूपजायते,सङ्गात्सञ्जायते कामः कामात्क्रोधोऽभिजायते,श्रीभगवानुवाच,2,62,dhyAyato viShayAnpuMsaH sa~NgasteShUpajAyate,sa~NgAtsa~njAyate kAmaH kAmAtkrodho.abhijAyate,DyAyato vizayAnpuMsaH saNgastezUpajAyate,saNgAtsaYjAyate kAmaH kAmAtkroDo'BijAyate
 २,६३,क्रोधाद्भवति सम्मोहः सम्मोहात्स्मृतिविभ्रमः,स्मृतिभ्रंशाद् बुद्धिनाशो बुद्धिनाशात्प्रणश्यति,श्रीभगवानुवाच,2,63,krodhAdbhavati sammohaH sammohAtsmRRitivibhramaH,smRRitibhraMshAd buddhinAsho buddhinAshAtpraNashyati,kroDAdBavati sammohaH sammohAtsmftiviBramaH,smftiBraMSAd budDinASo budDinASAtpraRaSyati
 २,६४,रागद्वेषविमुक्तैस्तु विषयानिन्द्रियैश्चरन्,आत्मवश्यैर्विधेयात्मा प्रसादमधिगच्छति,श्रीभगवानुवाच,2,64,rAgadveShavimuktaistu viShayAnindriyaishcharan,AtmavashyairvidheyAtmA prasAdamadhigachChati,rAgadvezavimuktEstu vizayAnindriyEScaran,AtmavaSyErviDeyAtmA prasAdamaDigacCati
 २,६५,प्रसादे सर्वदुःखानां हानिरस्योपजायते,प्रसन्नचेतसो ह्याशु बुद्धिः पर्यवतिष्ठते,श्रीभगवानुवाच,2,65,prasAde sarvaduHkhAnAM hAnirasyopajAyate,prasannachetaso hyAshu buddhiH paryavatiShThate,prasAde sarvaduHKAnAM hAnirasyopajAyate,prasannacetaso hyASu budDiH paryavatizWate
 २,६६,नास्ति बुद्धिरयुक्तस्य न चायुक्तस्य भावना,न चाभावयतः शान्तिरशान्तस्य कुतः सुखम्,श्रीभगवानुवाच,2,66,nAsti buddhirayuktasya na chAyuktasya bhAvanA,na chAbhAvayataH shAntirashAntasya kutaH sukham,nAsti budDirayuktasya na cAyuktasya BAvanA,na cABAvayataH SAntiraSAntasya kutaH suKam
 २,६७,इन्द्रियाणां हि चरतां यन्मनोऽनुविधीयते,तदस्य हरति प्रज्ञां वायुर्नावमिवाम्भसि,श्रीभगवानुवाच,2,67,indriyANAM hi charatAM yanmano.anuvidhIyate,tadasya harati praj~nAM vAyurnAvamivAmbhasi,indriyARAM hi caratAM yanmano'nuviDIyate,tadasya harati prajYAM vAyurnAvamivAmBasi
 २,६८,तस्माद्यस्य महाबाहो निगृहीतानि सर्वशः,इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य प्रज्ञा प्रतिष्ठिता,श्रीभगवानुवाच,2,68,tasmAdyasya mahAbAho nigRRihItAni sarvashaH,indriyANIndriyArthebhyastasya praj~nA pratiShThitA,tasmAdyasya mahAbAho nigfhItAni sarvaSaH,indriyARIndriyArTeByastasya prajYA pratizWitA
 २,६९,या निशा सर्वभूतानां तस्यां जागर्ति संयमी,यस्यां जाग्रति भूतानि सा निशा पश्यतो मुनेः,श्रीभगवानुवाच,2,69,yA nishA sarvabhUtAnAM tasyAM jAgarti saMyamI,yasyAM jAgrati bhUtAni sA nishA pashyato muneH,yA niSA sarvaBUtAnAM tasyAM jAgarti saMyamI,yasyAM jAgrati BUtAni sA niSA paSyato muneH
 २,७०,आपूर्यमाणमचलप्रतिष्ठं समुद्रमापः प्रविशन्ति यद्वत्,तद्वत्कामा यं प्रविशन्ति सर्वे स शान्तिमाप्नोति न कामकामी,श्रीभगवानुवाच,2,70,ApUryamANamachalapratiShThaM samudramApaH pravishanti yadvat,tadvatkAmA yaM pravishanti sarve sa shAntimApnoti na kAmakAmI,ApUryamARamacalapratizWaM samudramApaH praviSanti yadvat,tadvatkAmA yaM praviSanti sarve sa SAntimApnoti na kAmakAmI
 २,७१,विहाय कामान्यः सर्वान्पुमांश्चरति निःस्पृहः,निर्ममो निरहङ्कारः स शान्तिमधिगच्छति,श्रीभगवानुवाच,2,71,vihAya kAmAnyaH sarvAnpumAMshcharati niHspRRihaH,nirmamo niraha~NkAraH sa shAntimadhigachChati,vihAya kAmAnyaH sarvAnpumAMScarati niHspfhaH,nirmamo nirahaNkAraH sa SAntimaDigacCati
 २,७२,एषा ब्राह्मी स्थितिः पार्थ नैनां प्राप्य विमुह्यति,स्थित्वास्यामन्तकालेऽपि ब्रह्मनिर्वाणमृच्छति,श्रीभगवानुवाच,2,72,eShA brAhmI sthitiH pArtha nainAM prApya vimuhyati,sthitvAsyAmantakAle.api brahmanirvANamRRichChati,ezA brAhmI sTitiH pArTa nEnAM prApya vimuhyati,sTitvAsyAmantakAle'pi brahmanirvARamfcCati
 ३,१,ज्यायसी चेत्कर्मणस्ते मता बुद्धिर्जनार्दन,तत्किं कर्मणि घोरे मां नियोजयसि केशव,अर्जुन उवाच,3,1,jyAyasI chetkarmaNaste matA buddhirjanArdana,tatkiM karmaNi ghore mAM niyojayasi keshava,jyAyasI cetkarmaRaste matA budDirjanArdana,tatkiM karmaRi Gore mAM niyojayasi keSava
 ३,२,व्यामिश्रेणेव वाक्येन बुद्धिं मोहयसीव मे,तदेकं वद निश्चित्य येन श्रेयोऽहमाप्नुयाम्,अर्जुन उवाच,3,2,vyAmishreNeva vAkyena buddhiM mohayasIva me,tadekaM vada nishchitya yena shreyo.ahamApnuyAm,vyAmiSreReva vAkyena budDiM mohayasIva me,tadekaM vada niScitya yena Sreyo'hamApnuyAm
 ३,३,लोकेऽस्मिन् द्विविधा निष्ठा पुरा प्रोक्ता मयानघ,ज्ञानयोगेन साङ्ख्यानां कर्मयोगेन योगिनाम्,श्रीभगवानुवाच,3,3,loke.asmin dvividhA niShThA purA proktA mayAnagha,j~nAnayogena sA~NkhyAnAM karmayogena yoginAm,loke'smin dviviDA nizWA purA proktA mayAnaGa,jYAnayogena sANKyAnAM karmayogena yoginAm
 ३,४,न कर्मणामनारम्भान्नैष्कर्म्यं पुरुषोऽश्नुते,न च संन्यसनादेव सिद्धिं समधिगच्छति,श्रीभगवानुवाच,3,4,na karmaNAmanArambhAnnaiShkarmyaM puruSho.ashnute,na cha saMnyasanAdeva siddhiM samadhigachChati,na karmaRAmanAramBAnnEzkarmyaM puruzo'Snute,na ca saMnyasanAdeva sidDiM samaDigacCati
 ३,५,न हि कश्चित्क्षणमपि जातु तिष्ठत्यकर्मकृत्,कार्यते ह्यवशः कर्म सर्वः प्रकृतिजैर्गुणैः,श्रीभगवानुवाच,3,5,na hi kashchitkShaNamapi jAtu tiShThatyakarmakRRit,kAryate hyavashaH karma sarvaH prakRRitijairguNaiH,na hi kaScitkzaRamapi jAtu tizWatyakarmakft,kAryate hyavaSaH karma sarvaH prakftijErguREH
 ३,६,कर्मेन्द्रियाणि संयम्य य आस्ते मनसा स्मरन्,इन्द्रियार्थान्विमूढात्मा मिथ्याचारः स उच्यते,श्रीभगवानुवाच,3,6,karmendriyANi saMyamya ya Aste manasA smaran,indriyArthAnvimUDhAtmA mithyAchAraH sa uchyate,karmendriyARi saMyamya ya Aste manasA smaran,indriyArTAnvimUQAtmA miTyAcAraH sa ucyate
 ३,७,यस्त्विन्द्रियाणि मनसा नियम्यारभतेऽर्जुन,कर्मेन्द्रियैः कर्मयोगमसक्तः स विशिष्यते,श्रीभगवानुवाच,3,7,yastvindriyANi manasA niyamyArabhate.arjuna,karmendriyaiH karmayogamasaktaH sa vishiShyate,yastvindriyARi manasA niyamyAraBate'rjuna,karmendriyEH karmayogamasaktaH sa viSizyate
 ३,८,नियतं कुरु कर्म त्वं कर्म ज्यायो ह्यकर्मणः,शरीरयात्रापि च ते न प्रसिद्ध्येदकर्मणः,श्रीभगवानुवाच,3,8,niyataM kuru karma tvaM karma jyAyo hyakarmaNaH,sharIrayAtrApi cha te na prasiddhyedakarmaNaH,niyataM kuru karma tvaM karma jyAyo hyakarmaRaH,SarIrayAtrApi ca te na prasidDyedakarmaRaH
 ३,९,यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धनः,तदर्थं कर्म कौन्तेय मुक्तसङ्गः समाचर,श्रीभगवानुवाच,3,9,yaj~nArthAtkarmaNo.anyatra loko.ayaM karmabandhanaH,tadarthaM karma kaunteya muktasa~NgaH samAchara,yajYArTAtkarmaRo'nyatra loko'yaM karmabanDanaH,tadarTaM karma kOnteya muktasaNgaH samAcara
 ३,१०,सहयज्ञाः प्रजाः सृष्ट्वा पुरोवाच प्रजापतिः,अनेन प्रसविष्यध्वमेष वोऽस्त्विष्टकामधुक्,श्रीभगवानुवाच,3,10,sahayaj~nAH prajAH sRRiShTvA purovAcha prajApatiH,anena prasaviShyadhvameSha vo.astviShTakAmadhuk,sahayajYAH prajAH sfzwvA purovAca prajApatiH,anena prasavizyaDvameza vo'stvizwakAmaDuk
 ३,११,देवान्भावयतानेन ते देवा भावयन्तु वः,परस्परं भावयन्तः श्रेयः परमवाप्स्यथ,श्रीभगवानुवाच,3,11,devAnbhAvayatAnena te devA bhAvayantu vaH,parasparaM bhAvayantaH shreyaH paramavApsyatha,devAnBAvayatAnena te devA BAvayantu vaH,parasparaM BAvayantaH SreyaH paramavApsyaTa
 ३,१२,इष्टान्भोगान्हि वो देवा दास्यन्ते यज्ञभाविताः,तैर्दत्तानप्रदायैभ्यो यो भुङ्क्ते स्तेन एव सः,श्रीभगवानुवाच,3,12,iShTAnbhogAnhi vo devA dAsyante yaj~nabhAvitAH,tairdattAnapradAyaibhyo yo bhu~Nkte stena eva saH,izwAnBogAnhi vo devA dAsyante yajYaBAvitAH,tErdattAnapradAyEByo yo BuNkte stena eva saH
 ३,१३,यज्ञशिष्टाशिनः सन्तो मुच्यन्ते सर्वकिल्बिषैः,भुञ्जते ते त्वघं पापा ये पचन्त्यात्मकारणात्,श्रीभगवानुवाच,3,13,yaj~nashiShTAshinaH santo muchyante sarvakilbiShaiH,bhu~njate te tvaghaM pApA ye pachantyAtmakAraNAt,yajYaSizwASinaH santo mucyante sarvakilbizEH,BuYjate te tvaGaM pApA ye pacantyAtmakAraRAt
 ३,१४,अन्नाद्भवन्ति भूतानि पर्जन्यादन्नसम्भवः,यज्ञाद्भवति पर्जन्यो यज्ञः कर्मसमुद्भवः,श्रीभगवानुवाच,3,14,annAdbhavanti bhUtAni parjanyAdannasambhavaH,yaj~nAdbhavati parjanyo yaj~naH karmasamudbhavaH,annAdBavanti BUtAni parjanyAdannasamBavaH,yajYAdBavati parjanyo yajYaH karmasamudBavaH
 ३,१५,कर्म ब्रह्मोद्भवं विद्धि ब्रह्माक्षरसमुद्भवम्,तस्मात्सर्वगतं ब्रह्म नित्यं यज्ञे प्रतिष्ठितम्,श्रीभगवानुवाच,3,15,karma brahmodbhavaM viddhi brahmAkSharasamudbhavam,tasmAtsarvagataM brahma nityaM yaj~ne pratiShThitam,karma brahmodBavaM vidDi brahmAkzarasamudBavam,tasmAtsarvagataM brahma nityaM yajYe pratizWitam
 ३,१६,एवं प्रवर्तितं चक्रं नानुवर्तयतीह यः,अघायुरिन्द्रियारामो मोघं पार्थ स जीवति,श्रीभगवानुवाच,3,16,evaM pravartitaM chakraM nAnuvartayatIha yaH,aghAyurindriyArAmo moghaM pArtha sa jIvati,evaM pravartitaM cakraM nAnuvartayatIha yaH,aGAyurindriyArAmo moGaM pArTa sa jIvati
 ३,१७,यस्त्वात्मरतिरेव स्यादात्मतृप्तश्च मानवः,आत्मन्येव च सन्तुष्टस्तस्य कार्यं न विद्यते,श्रीभगवानुवाच,3,17,yastvAtmaratireva syAdAtmatRRiptashcha mAnavaH,Atmanyeva cha santuShTastasya kAryaM na vidyate,yastvAtmaratireva syAdAtmatfptaSca mAnavaH,Atmanyeva ca santuzwastasya kAryaM na vidyate
 ३,१८,नैव तस्य कृतेनार्थो नाकृतेनेह कश्चन,न चास्य सर्वभूतेषु कश्चिदर्थव्यपाश्रयः,श्रीभगवानुवाच,3,18,naiva tasya kRRitenArtho nAkRRiteneha kashchana,na chAsya sarvabhUteShu kashchidarthavyapAshrayaH,nEva tasya kftenArTo nAkfteneha kaScana,na cAsya sarvaBUtezu kaScidarTavyapASrayaH
 ३,१९,तस्मादसक्तः सततं कार्यं कर्म समाचर,असक्तो ह्याचरन्कर्म परमाप्नोति पूरुषः,श्रीभगवानुवाच,3,19,tasmAdasaktaH satataM kAryaM karma samAchara,asakto hyAcharankarma paramApnoti pUruShaH,tasmAdasaktaH satataM kAryaM karma samAcara,asakto hyAcarankarma paramApnoti pUruzaH
 ३,२०,कर्मणैव हि संसिद्धिमास्थिता जनकादयः,लोकसङ्ग्रहमेवापि सम्पश्यन्कर्तुमर्हसि,श्रीभगवानुवाच,3,20,karmaNaiva hi saMsiddhimAsthitA janakAdayaH,lokasa~NgrahamevApi sampashyankartumarhasi,karmaREva hi saMsidDimAsTitA janakAdayaH,lokasaNgrahamevApi sampaSyankartumarhasi
 ३,२१,यद्यदाचरति श्रेष्ठस्तत्तदेवेतरो जनः,स यत्प्रमाणं कुरुते लोकस्तदनुवर्तते,श्रीभगवानुवाच,3,21,yadyadAcharati shreShThastattadevetaro janaH,sa yatpramANaM kurute lokastadanuvartate,yadyadAcarati SrezWastattadevetaro janaH,sa yatpramARaM kurute lokastadanuvartate
 ३,२२,न मे पार्थास्ति कर्तव्यं त्रिषु लोकेषु किञ्चन,नानवाप्तमवाप्तव्यं वर्त एव च कर्मणि,श्रीभगवानुवाच,3,22,na me pArthAsti kartavyaM triShu lokeShu ki~nchana,nAnavAptamavAptavyaM varta eva cha karmaNi,na me pArTAsti kartavyaM trizu lokezu kiYcana,nAnavAptamavAptavyaM varta eva ca karmaRi
 ३,२३,यदि ह्यहं न वर्तेयं जातु कर्मण्यतन्द्रितः,मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः,श्रीभगवानुवाच,3,23,yadi hyahaM na varteyaM jAtu karmaNyatandritaH,mama vartmAnuvartante manuShyAH pArtha sarvashaH,yadi hyahaM na varteyaM jAtu karmaRyatandritaH,mama vartmAnuvartante manuzyAH pArTa sarvaSaH
 ३,२४,उत्सीदेयुरिमे लोका न कुर्यां कर्म चेदहम्,सङ्करस्य च कर्ता स्यामुपहन्यामिमाः प्रजाः,श्रीभगवानुवाच,3,24,utsIdeyurime lokA na kuryAM karma chedaham,sa~Nkarasya cha kartA syAmupahanyAmimAH prajAH,utsIdeyurime lokA na kuryAM karma cedaham,saNkarasya ca kartA syAmupahanyAmimAH prajAH
 ३,२५,सक्ताः कर्मण्यविद्वांसो यथा कुर्वन्ति भारत,कुर्याद्विद्वांस्तथासक्तश्चिकीर्षुर्लोकसङ्ग्रहम्,श्रीभगवानुवाच,3,25,saktAH karmaNyavidvAMso yathA kurvanti bhArata,kuryAdvidvAMstathAsaktashchikIrShurlokasa~Ngraham,saktAH karmaRyavidvAMso yaTA kurvanti BArata,kuryAdvidvAMstaTAsaktaScikIrzurlokasaNgraham
 ३,२६,न बुद्धिभेदं जनयेदज्ञानां कर्मसङ्गिनाम्,जोषयेत्सर्वकर्माणि विद्वान्युक्तः समाचरन्,श्रीभगवानुवाच,3,26,na buddhibhedaM janayedaj~nAnAM karmasa~NginAm,joShayetsarvakarmANi vidvAnyuktaH samAcharan,na budDiBedaM janayedajYAnAM karmasaNginAm,jozayetsarvakarmARi vidvAnyuktaH samAcaran
 ३,२७,प्रकृतेः क्रियमाणानि गुणैः कर्माणि सर्वशः,अहङ्कारविमूढात्मा कर्ताहमिति मन्यते,श्रीभगवानुवाच,3,27,prakRRiteH kriyamANAni guNaiH karmANi sarvashaH,aha~NkAravimUDhAtmA kartAhamiti manyate,prakfteH kriyamARAni guREH karmARi sarvaSaH,ahaNkAravimUQAtmA kartAhamiti manyate
 ३,२८,तत्त्ववित्तु महाबाहो गुणकर्मविभागयोः,गुणा गुणेषु वर्तन्त इति मत्वा न सज्जते,श्रीभगवानुवाच,3,28,tattvavittu mahAbAho guNakarmavibhAgayoH,guNA guNeShu vartanta iti matvA na sajjate,tattvavittu mahAbAho guRakarmaviBAgayoH,guRA guRezu vartanta iti matvA na sajjate
 ३,२९,प्रकृतेर्गुणसम्मूढाः सज्जन्ते गुणकर्मसु,तानकृत्स्नविदो मन्दान्कृत्स्नविन्न विचालयेत्,श्रीभगवानुवाच,3,29,prakRRiterguNasammUDhAH sajjante guNakarmasu,tAnakRRitsnavido mandAnkRRitsnavinna vichAlayet,prakfterguRasammUQAH sajjante guRakarmasu,tAnakftsnavido mandAnkftsnavinna vicAlayet
 ३,३०,मयि सर्वाणि कर्माणि संन्यस्याध्यात्मचेतसा,निराशीर्निर्ममो भूत्वा युध्यस्व विगतज्वरः,श्रीभगवानुवाच,3,30,mayi sarvANi karmANi saMnyasyAdhyAtmachetasA,nirAshIrnirmamo bhUtvA yudhyasva vigatajvaraH,mayi sarvARi karmARi saMnyasyADyAtmacetasA,nirASIrnirmamo BUtvA yuDyasva vigatajvaraH
 ३,३१,ये मे मतमिदं नित्यमनुतिष्ठन्ति मानवाः,श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभिः,श्रीभगवानुवाच,3,31,ye me matamidaM nityamanutiShThanti mAnavAH,shraddhAvanto.anasUyanto muchyante te.api karmabhiH,ye me matamidaM nityamanutizWanti mAnavAH,SradDAvanto'nasUyanto mucyante te'pi karmaBiH
 ३,३२,ये त्वेतदभ्यसूयन्तो नानुतिष्ठन्ति मे मतम्,सर्वज्ञानविमूढांस्तान्विद्धि नष्टानचेतसः,श्रीभगवानुवाच,3,32,ye tvetadabhyasUyanto nAnutiShThanti me matam,sarvaj~nAnavimUDhAMstAnviddhi naShTAnachetasaH,ye tvetadaByasUyanto nAnutizWanti me matam,sarvajYAnavimUQAMstAnvidDi nazwAnacetasaH
 ३,३३,सदृशं चेष्टते स्वस्याः प्रकृतेर्ज्ञानवानपि,प्रकृतिं यान्ति भूतानि निग्रहः किं करिष्यति,श्रीभगवानुवाच,3,33,sadRRishaM cheShTate svasyAH prakRRiterj~nAnavAnapi,prakRRitiM yAnti bhUtAni nigrahaH kiM kariShyati,sadfSaM cezwate svasyAH prakfterjYAnavAnapi,prakftiM yAnti BUtAni nigrahaH kiM karizyati
 ३,३४,इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ,तयोर्न वशमागच्छेत्तौ ह्यस्य परिपन्थिनौ,श्रीभगवानुवाच,3,34,indriyasyendriyasyArthe rAgadveShau vyavasthitau,tayorna vashamAgachChettau hyasya paripanthinau,indriyasyendriyasyArTe rAgadvezO vyavasTitO,tayorna vaSamAgacCettO hyasya paripanTinO
 ३,३५,श्रेयान्स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात्,स्वधर्मे निधनं श्रेयः परधर्मो भयावहः,श्रीभगवानुवाच,3,35,shreyAnsvadharmo viguNaH paradharmAtsvanuShThitAt,svadharme nidhanaM shreyaH paradharmo bhayAvahaH,SreyAnsvaDarmo viguRaH paraDarmAtsvanuzWitAt,svaDarme niDanaM SreyaH paraDarmo BayAvahaH
 ३,३६,अथ केन प्रयुक्तोऽयं पापं चरति पूरुषः,अनिच्छन्नपि वार्ष्णेय बलादिव नियोजितः,अर्जुन उवाच,3,36,atha kena prayukto.ayaM pApaM charati pUruShaH,anichChannapi vArShNeya balAdiva niyojitaH,aTa kena prayukto'yaM pApaM carati pUruzaH,anicCannapi vArzReya balAdiva niyojitaH
 ३,३७,काम एष क्रोध एष रजोगुणसमुद्भवः,महाशनो महापाप्मा विद्ध्येनमिह वैरिणम्,श्रीभगवानुवाच,3,37,kAma eSha krodha eSha rajoguNasamudbhavaH,mahAshano mahApApmA viddhyenamiha vairiNam,kAma eza kroDa eza rajoguRasamudBavaH,mahASano mahApApmA vidDyenamiha vEriRam
 ३,३८,धूमेनाव्रियते वह्निर्यथादर्शो मलेन च,यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम्,श्रीभगवानुवाच,3,38,dhUmenAvriyate vahniryathAdarsho malena cha,yatholbenAvRRito garbhastathA tenedamAvRRitam,DUmenAvriyate vahniryaTAdarSo malena ca,yaTolbenAvfto garBastaTA tenedamAvftam
 ३,३९,आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा,कामरूपेण कौन्तेय दुष्पूरेणानलेन च,श्रीभगवानुवाच,3,39,AvRRitaM j~nAnametena j~nAnino nityavairiNA,kAmarUpeNa kaunteya duShpUreNAnalena cha,AvftaM jYAnametena jYAnino nityavEriRA,kAmarUpeRa kOnteya duzpUreRAnalena ca
 ३,४०,इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते,एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम्,श्रीभगवानुवाच,3,40,indriyANi mano buddhirasyAdhiShThAnamuchyate,etairvimohayatyeSha j~nAnamAvRRitya dehinam,indriyARi mano budDirasyADizWAnamucyate,etErvimohayatyeza jYAnamAvftya dehinam
 ३,४१,तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ,पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम्,श्रीभगवानुवाच,3,41,tasmAttvamindriyANyAdau niyamya bharatarShabha,pApmAnaM prajahi hyenaM j~nAnavij~nAnanAshanam,tasmAttvamindriyARyAdO niyamya BaratarzaBa,pApmAnaM prajahi hyenaM jYAnavijYAnanASanam
 ३,४२,इन्द्रियाणि पराण्याहुरिन्द्रियेभ्यः परं मनः,मनसस्तु परा बुद्धिर्यो बुद्धेः परतस्तु सः,श्रीभगवानुवाच,3,42,indriyANi parANyAhurindriyebhyaH paraM manaH,manasastu parA buddhiryo buddheH paratastu saH,indriyARi parARyAhurindriyeByaH paraM manaH,manasastu parA budDiryo budDeH paratastu saH
 ३,४३,एवं बुद्धेः परं बुद्ध्वा संस्तभ्यात्मानमात्मना,जहि शत्रुं महाबाहो कामरूपं दुरासदम्,श्रीभगवानुवाच,3,43,evaM buddheH paraM buddhvA saMstabhyAtmAnamAtmanA,jahi shatruM mahAbAho kAmarUpaM durAsadam,evaM budDeH paraM budDvA saMstaByAtmAnamAtmanA,jahi SatruM mahAbAho kAmarUpaM durAsadam
 ४,१,इमं विवस्वते योगं प्रोक्तवानहमव्ययम्,विवस्वान्मनवे प्राह मनुरिक्ष्वाकवेऽब्रवीत्,श्रीभगवानुवाच,4,1,imaM vivasvate yogaM proktavAnahamavyayam,vivasvAnmanave prAha manurikShvAkave.abravIt,imaM vivasvate yogaM proktavAnahamavyayam,vivasvAnmanave prAha manurikzvAkave'bravIt
 ४,२,एवं परम्पराप्राप्तमिमं राजर्षयो विदुः,स कालेनेह महता योगो नष्टः परन्तप,श्रीभगवानुवाच,4,2,evaM paramparAprAptamimaM rAjarShayo viduH,sa kAleneha mahatA yogo naShTaH parantapa,evaM paramparAprAptamimaM rAjarzayo viduH,sa kAleneha mahatA yogo nazwaH parantapa
 ४,३,स एवायं मया तेऽद्य योगः प्रोक्तः पुरातनः,भक्तोऽसि मे सखा चेति रहस्यं ह्येतदुत्तमम्,श्रीभगवानुवाच,4,3,sa evAyaM mayA te.adya yogaH proktaH purAtanaH,bhakto.asi me sakhA cheti rahasyaM hyetaduttamam,sa evAyaM mayA te'dya yogaH proktaH purAtanaH,Bakto'si me saKA ceti rahasyaM hyetaduttamam
 ४,४,अपरं भवतो जन्म परं जन्म विवस्वतः,कथमेतद्विजानीयां त्वमादौ प्रोक्तवानिति,अर्जुन उवाच,4,4,aparaM bhavato janma paraM janma vivasvataH,kathametadvijAnIyAM tvamAdau proktavAniti,aparaM Bavato janma paraM janma vivasvataH,kaTametadvijAnIyAM tvamAdO proktavAniti
 ४,५,बहूनि मे व्यतीतानि जन्मानि तव चार्जुन,तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप,श्रीभगवानुवाच,4,5,bahUni me vyatItAni janmAni tava chArjuna,tAnyahaM veda sarvANi na tvaM vettha parantapa,bahUni me vyatItAni janmAni tava cArjuna,tAnyahaM veda sarvARi na tvaM vetTa parantapa
 ४,६,अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोऽपि सन्,प्रकृतिं स्वामधिष्ठाय सम्भवाम्यात्ममायया,श्रीभगवानुवाच,4,6,ajo.api sannavyayAtmA bhUtAnAmIshvaro.api san,prakRRitiM svAmadhiShThAya sambhavAmyAtmamAyayA,ajo'pi sannavyayAtmA BUtAnAmISvaro'pi san,prakftiM svAmaDizWAya samBavAmyAtmamAyayA
 ४,७,यदा यदा हि धर्मस्य ग्लानिर्भवति भारत,अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्,श्रीभगवानुवाच,4,7,yadA yadA hi dharmasya glAnirbhavati bhArata,abhyutthAnamadharmasya tadAtmAnaM sRRijAmyaham,yadA yadA hi Darmasya glAnirBavati BArata,aByutTAnamaDarmasya tadAtmAnaM sfjAmyaham
 ४,८,परित्राणाय साधूनां विनाशाय च दुष्कृताम्,धर्मसंस्थापनार्थाय सम्भवामि युगे युगे,श्रीभगवानुवाच,4,8,paritrANAya sAdhUnAM vinAshAya cha duShkRRitAm,dharmasaMsthApanArthAya sambhavAmi yuge yuge,paritrARAya sADUnAM vinASAya ca duzkftAm,DarmasaMsTApanArTAya samBavAmi yuge yuge
 ४,९,जन्म कर्म च मे दिव्यमेवं यो वेत्ति तत्त्वतः,त्यक्त्वा देहं पुनर्जन्म नैति मामेति सोऽर्जुन,श्रीभगवानुवाच,4,9,janma karma cha me divyamevaM yo vetti tattvataH,tyaktvA dehaM punarjanma naiti mAmeti so.arjuna,janma karma ca me divyamevaM yo vetti tattvataH,tyaktvA dehaM punarjanma nEti mAmeti so'rjuna
 ४,१०,वीतरागभयक्रोधा मन्मया मामुपाश्रिताः,बहवो ज्ञानतपसा पूता मद्भावमागताः,श्रीभगवानुवाच,4,10,vItarAgabhayakrodhA manmayA mAmupAshritAH,bahavo j~nAnatapasA pUtA madbhAvamAgatAH,vItarAgaBayakroDA manmayA mAmupASritAH,bahavo jYAnatapasA pUtA madBAvamAgatAH
 ४,११,ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम्,मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः,श्रीभगवानुवाच,4,11,ye yathA mAM prapadyante tAMstathaiva bhajAmyaham,mama vartmAnuvartante manuShyAH pArtha sarvashaH,ye yaTA mAM prapadyante tAMstaTEva BajAmyaham,mama vartmAnuvartante manuzyAH pArTa sarvaSaH
 ४,१२,काङ्क्षन्तः कर्मणां सिद्धिं यजन्त इह देवताः,क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा,श्रीभगवानुवाच,4,12,kA~NkShantaH karmaNAM siddhiM yajanta iha devatAH,kShipraM hi mAnuShe loke siddhirbhavati karmajA,kANkzantaH karmaRAM sidDiM yajanta iha devatAH,kzipraM hi mAnuze loke sidDirBavati karmajA
